date,value
2026/2/28,89.52
2026/1/31,92.54
2025/12/31,95.7
2025/11/30,93.4
2025/10/31,88.1
2025/9/30,93.2
2025/8/31,95.4
2025/7/31,94.38
2025/6/30,95.6
2025/5/31,94.3
2025/4/30,90.8
2025/3/31,87.06
2025/2/28,85.58
2025/1/31,86.76
2024/12/31,92.47
2024/11/30,91.7
2024/10/31,90
2024/9/30,87.46
2024/8/31,92.53
2024/7/31,92.5
2024/6/30,93.67
2024/5/31,93.7
2024/4/30,88.64
2024/3/31,88.9
2024/2/29,81.29
2024/1/31,87.07
2023/12/31,93.1
2023/11/30,89.9
2023/10/31,86.7
2023/9/30,91.5
2023/8/31,93.93
2023/7/31,93.8
2023/6/30,92.52
2023/5/31,92.09
2023/4/30,90.63
2023/3/31,89.26
2023/2/28,86.25
2023/1/31,85.67
2022/12/31,92.22
2022/11/30,94.18
2022/10/31,90.3
2022/9/30,92.5
2022/8/31,93.32
2022/7/31,93.46
2022/6/30,95.2
2022/5/31,92.9
2022/4/30,90.02
2022/3/31,91.01
2022/2/28,86.74
2022/1/31,87.79
2021/12/31,91.1
2021/11/30,88.33
2021/10/31,85.47
2021/9/30,86.13
2021/8/31,91.71
2021/7/31,91.53
2021/6/30,92.59
2021/5/31,89
2021/4/30,85.2
2021/3/31,79.23
2021/2/28,70.8
2021/1/31,82.14
2020/12/31,79.33
2020/11/30,77.56
2020/10/31,74.65
2020/9/30,76.9
2020/8/31,79.34
2020/7/31,78.82
2020/6/30,74.53
2020/5/31,70.31
2020/4/30,69.8
2020/3/31,84.28
2020/2/29,88.11
2020/1/31,89.68
2019/12/31,92.4
2019/11/30,89.54
2019/10/31,85.51
2019/9/30,89.98
2019/8/31,95.25
2019/7/31,94.16
2019/6/30,93.93
2019/5/31,90.88
2019/4/30,88.86
2019/3/31,87.39
2019/2/28,86.71
2019/1/31,91.1
2018/12/31,95.74
2018/11/30,93.77
2018/10/31,89.14
2018/9/30,93.14
2018/8/31,97.21
2018/7/31,95.35
2018/6/30,96.45
2018/5/31,92.63
2018/4/30,92.33
2018/3/31,89.86
2018/2/28,89.02
2018/1/31,91.33
2017/12/31,95.05
2017/11/30,91.86
2017/10/31,87.52
2017/9/30,85.3
2017/8/31,95.24
2017/7/31,93.53
2017/6/30,92.82
2017/5/31,93.01
2017/4/30,92.23
2017/3/31,86.05
2017/2/28,84.36
2017/1/31,89.59
2016/12/31,90.51
2016/11/30,88.3
2016/10/31,84.61
2016/9/30,90.31
2016/8/31,93.11
2016/7/31,93.2
2016/6/30,91.96
2016/5/31,90.71
2016/4/30,89.61
2016/3/31,89.21
2016/2/29,87.68
2016/1/31,89.76
2015/12/31,92.59
2015/11/30,91.24
2015/10/31,86.68
2015/9/30,90.66
2015/8/31,93.55
2015/7/31,94.18
2015/6/30,92.25
2015/5/31,91.11
2015/4/30,89.87
2015/3/31,86.75
2015/2/28,85.87
2015/1/31,87.35
2014/12/31,92.54
2014/11/30,90.19
2014/10/31,86.1
2014/9/30,90.57
2014/8/31,92.05
2014/7/31,92.65
2014/6/30,88.17
2014/5/31,89.17
2014/4/30,89.58
2014/3/31,86.33
2014/2/28,87.33
2014/1/31,88.62
2013/12/31,92.3
2013/11/30,89.18
2013/10/31,86.35
2013/9/30,91.08
2013/8/31,90.84
2013/7/31,92.2
2013/6/30,89.8
2013/5/31,87.18
2013/4/30,85.2
2013/3/31,84.13
2013/2/28,84
2013/1/31,86.4
2012/12/31,90.65
2012/11/30,88.18
2012/10/31,87.25
2012/9/30,87.3
2012/8/31,90.74
2012/7/31,92.48
2012/6/30,91.9
2012/5/31,87.98
2012/4/30,84.78
2012/3/31,83.8
2012/2/29,83.96
2012/1/31,83.3
2011/12/31,85.4
2011/11/30,84.38
2011/10/31,84.03
2011/9/30,88.03
2011/8/31,89.65
2011/7/31,88.9
2011/6/30,87.65
2011/5/31,84.3
2011/4/30,82.76
2011/3/31,83.4
2011/2/28,81.55
2011/1/31,83.93
2010/12/31,87.8
2010/11/30,83.6
2010/10/31,82.6
2010/9/30,87.4
2010/8/31,88.9
2010/7/31,90.7
2010/6/30,90.2
2010/5/31,88
2010/4/30,86.9
2010/3/31,83.1
2010/2/28,80.5
2010/1/31,79.1
2009/12/31,80.3
2009/11/30,80.1
2009/10/31,81.9
2009/9/30,85.7
2009/8/31,85.1
2009/7/31,85.9
2009/6/30,86.5
2009/5/31,84.4
2009/4/30,82.4
2009/3/31,83.9
2009/2/28,81
2009/1/31,84.4
2008/12/31,85.8
2008/11/30,86.8
2008/10/31,85.1
2008/9/30,74.8
2008/8/31,88
2008/7/31,89.9
2008/6/30,90.1
2008/5/31,90
2008/4/30,86.4
2008/3/31,85.1
2008/2/29,85.6
2008/1/31,87.1
2007/12/31,91.8
2007/11/30,89
2007/10/31,89.4
2007/9/30,89.7
2007/8/31,91.3
2007/7/31,91.7
2007/6/30,88.1
2007/5/31,89.6
2007/4/30,88.4
2007/3/31,86.8
2007/2/28,85.6
2007/1/31,85.6
2006/12/31,89.4
2006/11/30,87.6
2006/10/31,88.1
2006/9/30,91.5
2006/8/31,92.3
2006/7/31,91.3
2006/6/30,92.8
2006/5/31,89.4
2006/4/30,85.3
2006/3/31,84.9
2006/2/28,84.9
2006/1/31,84.9
2005/12/31,88.6
2005/11/30,87.6
2005/10/31,79.6
2005/9/30,82.1
2005/8/31,92.9
2005/7/31,95.8
2005/6/30,96.2
2005/5/31,93.2
2005/4/30,91.5
2005/3/31,90.2
2005/2/28,89.5
2005/1/31,91.2
2004/12/31,96
2004/11/30,95.2
2004/10/31,91.2
2004/9/30,92.2
2004/8/31,97.9
2004/7/31,96.1
2004/6/30,96.5
2004/5/31,95
2004/4/30,92.7
2004/3/31,89.4
2004/2/29,91
2004/1/31,91.1
2003/12/31,93.5
2003/11/30,93.2
2003/10/31,93.7
2003/9/30,94.4
2003/8/31,95.7
2003/7/31,95.4
2003/6/30,95.8
2003/5/31,96
2003/4/30,93.8
2003/3/31,91.1
2003/2/28,88.2
2003/1/31,89.1
2002/12/31,91.2
2002/11/30,92
2002/10/31,86.8
2002/9/30,92.9
2002/8/31,94.6
2002/7/31,95.1
2002/6/30,94.7
2002/5/31,92.9
2002/4/30,92.4
2002/3/31,86.6
2002/2/28,88.2
2002/1/31,88.5
2001/12/31,90.9
2001/11/30,91.3
2001/10/31,92.7
2001/9/30,92.8
2001/8/31,94
2001/7/31,95.2
2001/6/30,96.1
2001/5/31,95.8
2001/4/30,93.6
2001/3/31,89.7
2001/2/28,90.6
2001/1/31,90.8
2000/12/31,93.6
2000/11/30,93
2000/10/31,93.7
